All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly            # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  GC (%)  N50     N75     L50  L75  # N's per 100 kbp
130621253_assembly  105                  81                      48                      42                       33                       27                       6145560                 6133581                    6065017                    6023122                     5875554                     5668875                     93         808550          6142398       67.62   295571  151272  6    14   0.00             
140630054_assembly  105                  84                      53                      47                       39                       31                       6141628                 6131236                    6065967                    6024074                     5897446                     5619378                     95         653421          6139072       67.62   236640  112026  8    18   0.00             
170699855_assembly  173                  114                     84                      73                       53                       36                       5486055                 5460321                    5393797                    5313606                     5000892                     4411037                     135        311836          5475408       68.86   117950  57037   15   31   0.00             
172148124_assembly  99                   57                      42                      38                       30                       22                       5027401                 5010845                    4984053                    4953778                     4827751                     4512854                     70         584964          5019817       69.29   233187  150144  7    14   0.00             
172211651_assembly  206                  155                     118                     108                      76                       54                       10710252                10686323                   10618137                   10546074                    9950680                     9137385                     178        603813          10702799      68.50   189846  91418   16   37   0.00             
180653933_assembly  220                  139                     105                     92                       69                       48                       7884930                 7851169                    7774444                    7678270                     7320088                     6574238                     167        516752          7870959       57.63   124765  78246   17   37   0.00             
182003358_assembly  104                  58                      39                      37                       31                       26                       5838966                 5820705                    5785731                    5770703                     5678153                     5475390                     72         566352          5830809       67.86   335632  157000  7    14   0.00             
182028377_assembly  99                   59                      42                      40                       35                       29                       5884622                 5869001                    5836364                    5821336                     5750858                     5510760                     72         545918          5878152       67.81   335631  124519  7    16   0.00             
182291946_assembly  168                  127                     84                      71                       53                       32                       5103701                 5086396                    4996597                    4908795                     4626142                     3883541                     141        263959          5096245       69.17   106011  51421   15   31   0.00             
192069454_assembly  173                  128                     83                      69                       51                       30                       5029487                 5009397                    4915508                    4821905                     4526723                     3764096                     145        288726          5022158       69.22   105997  46853   14   31   0.00             
192087440_assembly  39                   32                      26                      25                       19                       16                       5431372                 5427403                    5420139                    5413468                     5297446                     5204014                     37         709298          5430739       68.02   467238  427447  5    8    0.00             
192127496_assembly  101                  57                      42                      37                       29                       21                       5027864                 5009894                    4980806                    4944847                     4824460                     4513098                     72         747979          5020218       69.29   233187  150144  7    13   0.00             
192155610_assembly  124                  87                      53                      48                       36                       28                       6232500                 6216511                    6143868                    6104994                     5916545                     5655941                     102        595672          6226909       67.59   266997  103581  8    16   0.00             
193507993_assembly  107                  62                      46                      41                       30                       23                       5027503                 5010145                    4982575                    4946162                     4758033                     4469259                     75         607181          5019114       69.29   218732  121015  8    14   0.00             
202217271_assembly  135                  96                      58                      52                       39                       29                       6235692                 6219291                    6137093                    6089863                     5878939                     5529323                     111        595672          6229689       67.59   244771  99552   9    19   0.00             
